Facility Name,Facility Address,Latitude,Longitude,NAICS Code,Pollutant,Source Type,Emissions in Tons,Year
Vandalia Correctional Center,"Rte 51 N, Box 500",39.0095,-89.0978,922140,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.21,2011
Deiters Funeral Home Ltd,2075 Washington Rd,40.6989,-89.4618,812210,PM2.5 Primary (Filt + Cond,,0.12,2011
Chicago Steel Container Corp,1846 S Kilbourn Ave,41.8551,-87.7377,332439,PM2.5 Primary (Filt + Cond,Fabricated Metal Products Plant,0.108509091,2011
MORTON,Unknown,40.5904,-90.9426,48811,PM2.5 Primary (Filt + Cond,Airport,0.00864959,2011
Logan Correctional Center,RR 3 Box 1000,40.1124,-89.3855,922140,PM2.5 Primary (Filt + Cond,,1.865,2011
Tazewell Machine Works Inc,2015 S 2nd St,40.5439,-89.6657,331524,PM2.5 Primary (Filt + Cond,"Foundries, non-ferrous",0.31,2011
Quality Ready Mix & Materials,630 W Davis St,40.5531,-90.5186,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.16556187,2011
C & F Packing Inc,515 Park Ave,42.4101,-88.0698,311612,PM2.5 Primary (Filt + Cond,Food Products Processing Plant,0.2,2011
Owens Corning Foam Insulation LLC,2710 Laude Dr,42.2352,-89.0488,326140,PM2.5 Primary (Filt + Cond,,0.351628,2011
VCNA Prairie Illinois Building Materials LLC Yard 1019,560 Rock Rd,42.0921,-88.2413,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.23426495,2011
Lyon LLC,13571 Rte 133,39.6036,-87.7092,337215,PM2.5 Primary (Filt + Cond,Steel Mill,0.22050124,2011
UOP LLC,50 E Algonquin Rd,42.0324,-87.917,541712,PM2.5 Primary (Filt + Cond,,0.43,2011
VCN Prairie Inc Yard 1147,2550 S Laflin St,41.8459,-87.6639,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0,2011
VCNA Prairie Illinois Inc Yard 1149,306 Muller Rd,40.7002,-89.425,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0,2011
Capron Manufacturing Co,200 N Burr Oak Rd,42.402,-88.7365,332813,PM2.5 Primary (Filt + Cond,,1E-06,2011
Presence St Francis Hospital,355 Ridge Ave,42.0246,-87.6836,622110,PM2.5 Primary (Filt + Cond,"Institutional (school, hospital, prison, etc.)",0.42,2011
River Docks Inc,2400 Water St,41.3202,-89.1357,488310,PM2.5 Primary (Filt + Cond,,0,2011
COOCH LANDING AREA,Unknown,39.8433,-88.4532,48811,PM2.5 Primary (Filt + Cond,Airport,0.00919672,2011
Pohlers Industrial Electric Service,508 Ruby St,41.5378,-88.0948,335312,PM2.5 Primary (Filt + Cond,,0.00056962,2011
Vulcan Construction Materials LLC,5500 Joliet Rd,41.7864,-87.8448,212312,PM2.5 Primary (Filt + Cond,,0.89,2011
Interstate Asphalt LLC,5701 Industrial Dr Unit 1,41.4118,-87.7498,324121,PM2.5 Primary (Filt + Cond,,1.01512982,2011
Naperville Ready Mix Inc,1805 High Grove Ln,41.7761,-88.1944,327320,PM2.5 Primary (Filt + Cond,Concrete Batch Plant,0.18717914,2011
Lebanon Chemical Corp,508 W Ross Ln,40.0859,-87.6455,325314,PM2.5 Primary (Filt + Cond,,0,2011
Sonoco Clear Pack,11610 Copenhagen Ct,41.9412,-87.9182,326199,PM2.5 Primary (Filt + Cond,,0.02823522,2011
Assumption Coop Grain Co,104 W North St,39.5225,-89.049,424510,PM2.5 Primary (Filt + Cond,,0.4316522005,2011
