"Date","Source","Site ID","POC","Daily Mean PM10 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"05/25/2018","AQS","170310022","4","53","ug/m3 SC","49","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/26/2018","AQS","170310022","4","36","ug/m3 SC","33","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/27/2018","AQS","170310022","4","28","ug/m3 SC","26","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/28/2018","AQS","170310022","4","27","ug/m3 SC","25","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/29/2018","AQS","170310022","4","26","ug/m3 SC","24","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/30/2018","AQS","170310022","4","18","ug/m3 SC","17","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/31/2018","AQS","170310022","4","29","ug/m3 SC","27","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/01/2018","AQS","170310022","4","13","ug/m3 SC","12","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/02/2018","AQS","170310022","4","10","ug/m3 SC","9","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/03/2018","AQS","170310022","4","20","ug/m3 SC","19","WASHINGTON HS","1","100.0000","81102","PM10 Total 0-10um STP","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
