"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"02/03/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/04/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/05/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/06/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/07/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/08/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/09/2018","AQS","170191001","1","0.3","ppm","3","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/10/2018","AQS","170191001","1","0.3","ppm","3","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/11/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/12/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/13/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","20","83.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/14/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/15/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/16/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/17/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/18/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/19/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/20/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/21/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/22/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/23/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","23","96.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/24/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/25/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/26/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/27/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","19","79.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/28/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/01/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/02/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/03/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/04/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/05/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/06/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/07/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/08/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/09/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/10/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/11/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/12/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/13/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","19","79.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/14/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/15/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/16/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/17/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/18/2018","AQS","170191001","1","0.3","ppm","3","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/19/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/20/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/21/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/22/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/23/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/24/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/25/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/26/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/27/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","19","79.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/28/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/29/2018","AQS","170191001","1","0.3","ppm","3","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"03/30/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/04/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","13","54.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/05/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/06/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/07/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/08/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/09/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/10/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","19","79.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/11/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/12/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","6","25.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/18/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","13","54.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/19/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/20/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/21/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/22/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/23/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/24/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","19","79.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/25/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/26/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","6","25.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"04/30/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","13","54.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/01/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/02/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/03/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/04/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/05/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/06/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/07/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/08/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","17","71.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/09/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/10/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/11/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/12/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/13/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/14/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/15/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/16/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/17/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/18/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/19/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/20/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/21/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/22/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","18","75.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/23/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/24/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/25/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/26/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/27/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/28/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/29/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/30/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"05/31/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"06/01/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"06/02/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","20","83.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"06/04/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","14","58.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"06/05/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","11","46.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"06/06/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"06/07/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"06/08/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","17","71.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"06/11/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","15","63.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
