"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","19","79.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/10/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/11/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/12/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/13/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/14/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/15/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/16/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","18","75.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/17/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/18/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/19/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/27/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/28/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/29/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/30/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","19","79.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"01/31/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/01/2018","AQS","170191001","1","0.2","ppm","2","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
"02/02/2018","AQS","170191001","1","0.1","ppm","1","ISWS CLIMATE STATION","24","100.0000","42101","Carbon monoxide","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.05278","-88.37251"
