"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"07/12/2018","AQS","171132003","9","11.7","ug/m3 LC","49","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/13/2018","AQS","171132003","9","18.4","ug/m3 LC","64","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/14/2018","AQS","171132003","9","9.4","ug/m3 LC","39","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/15/2018","AQS","171132003","9","8.8","ug/m3 LC","37","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/16/2018","AQS","171132003","9","7","ug/m3 LC","29","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/17/2018","AQS","171132003","9","5.4","ug/m3 LC","23","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/18/2018","AQS","171132003","9","6","ug/m3 LC","25","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/19/2018","AQS","171132003","9","7.9","ug/m3 LC","33","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/20/2018","AQS","171132003","9","4","ug/m3 LC","17","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/21/2018","AQS","171132003","9","6.9","ug/m3 LC","29","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/22/2018","AQS","171132003","9","7.8","ug/m3 LC","33","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/23/2018","AQS","171132003","9","12.2","ug/m3 LC","51","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/24/2018","AQS","171132003","9","12.8","ug/m3 LC","52","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/25/2018","AQS","171132003","9","6.9","ug/m3 LC","29","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/26/2018","AQS","171132003","9","6.2","ug/m3 LC","26","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/27/2018","AQS","171132003","9","4.8","ug/m3 LC","20","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/28/2018","AQS","171132003","9","9.8","ug/m3 LC","41","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/29/2018","AQS","171132003","9","8.8","ug/m3 LC","37","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/30/2018","AQS","171132003","9","6.5","ug/m3 LC","27","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"07/31/2018","AQS","171132003","9","11.6","ug/m3 LC","48","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"08/01/2018","AQS","171132003","9","11","ug/m3 LC","46","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"08/02/2018","AQS","171132003","9","11.9","ug/m3 LC","50","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"08/03/2018","AQS","171132003","9","12","ug/m3 LC","50","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"08/04/2018","AQS","171132003","9","11.5","ug/m3 LC","48","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"08/05/2018","AQS","171132003","9","9.3","ug/m3 LC","39","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"08/06/2018","AQS","171132003","9","8.8","ug/m3 LC","37","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
"08/07/2018","AQS","171132003","9","3.9","ug/m3 LC","16","ISU HARRIS PHYSICAL PLANT","1","100.0000","88101","PM2.5 - Local Conditions","14010","Bloomington, IL","17","Illinois","113","McLean","40.5187353721062","-88.9968957084304"
