"Date","Source","Site ID","POC","Daily Max 8-hour Ozone Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"03/18/2018","AQS","170010007","1","0.037","ppm","34","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/19/2018","AQS","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/20/2018","AQS","170010007","1","0.036","ppm","33","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/21/2018","AQS","170010007","1","0.041","ppm","38","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/22/2018","AQS","170010007","1","0.033","ppm","31","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/23/2018","AQS","170010007","1","0.037","ppm","34","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/24/2018","AQS","170010007","1","0.036","ppm","33","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/25/2018","AQS","170010007","1","0.038","ppm","35","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/26/2018","AQS","170010007","1","0.03","ppm","28","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/27/2018","AQS","170010007","1","0.03","ppm","28","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/28/2018","AQS","170010007","1","0.025","ppm","23","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/29/2018","AQS","170010007","1","0.032","ppm","30","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/30/2018","AQS","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"03/31/2018","AQS","170010007","1","0.035","ppm","32","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/01/2018","AQS","170010007","1","0.033","ppm","31","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/02/2018","AQS","170010007","1","0.039","ppm","36","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/03/2018","AQS","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/04/2018","AQS","170010007","1","0.037","ppm","34","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/05/2018","AQS","170010007","1","0.042","ppm","39","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/06/2018","AQS","170010007","1","0.041","ppm","38","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/07/2018","AQS","170010007","1","0.037","ppm","34","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/08/2018","AQS","170010007","1","0.038","ppm","35","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/09/2018","AQS","170010007","1","0.039","ppm","36","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/10/2018","AQS","170010007","1","0.044","ppm","41","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/11/2018","AQS","170010007","1","0.049","ppm","45","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/12/2018","AQS","170010007","1","0.057","ppm","58","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/13/2018","AQS","170010007","1","0.042","ppm","39","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/14/2018","AQS","170010007","1","0.031","ppm","29","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/15/2018","AQS","170010007","1","0.039","ppm","36","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/16/2018","AQS","170010007","1","0.043","ppm","40","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/17/2018","AQS","170010007","1","0.052","ppm","48","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/18/2018","AQS","170010007","1","0.037","ppm","34","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/19/2018","AQS","170010007","1","0.048","ppm","44","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/20/2018","AQS","170010007","1","0.047","ppm","44","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/21/2018","AQS","170010007","1","0.05","ppm","46","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/22/2018","AQS","170010007","1","0.046","ppm","43","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/23/2018","AQS","170010007","1","0.05","ppm","46","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/24/2018","AQS","170010007","1","0.057","ppm","58","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/25/2018","AQS","170010007","1","0.041","ppm","38","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/26/2018","AQS","170010007","1","0.054","ppm","50","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/27/2018","AQS","170010007","1","0.049","ppm","45","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/28/2018","AQS","170010007","1","0.041","ppm","38","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/29/2018","AQS","170010007","1","0.049","ppm","45","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"04/30/2018","AQS","170010007","1","0.054","ppm","50","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/01/2018","AQS","170010007","1","0.053","ppm","49","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/02/2018","AQS","170010007","1","0.04","ppm","37","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/03/2018","AQS","170010007","1","0.029","ppm","27","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
"05/04/2018","AQS","170010007","1","0.054","ppm","50","JOHN WOOD COMMUNITY COLLEGE","17","100.0000","44201","Ozone","39500","Quincy, IL-MO","17","Illinois","001","Adams","39.9154093678845","-91.3358683221106"
