"","Category","SubCategory","Indicator","Year","Geography","Geo_Group","Geo_ID","Demography","Demo_Group","Number","Cum_Number","Avg_Annual_Number","Crude_Rate","Lower_95CI_Crude_Rate","Upper_95CI_Crude_Rate","Age_Adj_Rate","Lower_95CI_Age_Adj_Rate","Upper_95CI_Age_Adj_Rate","Percent","Lower_95CI_Percent","Upper_95CI_Percent","Weight_Number","Weight_Percent","Lower_95CI_Weight_Percent","Upper_95CI_Weight_Percent","Map_Key","Flag"
"24","Environmental Quality","Climate","Precipitation",2017,"Community Area","24-West Town","24",NA,NA,37.5270361488898,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"25","Environmental Quality","Climate","Precipitation",2017,"Community Area","25-Austin","25",NA,NA,42.5674538513325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"26","Environmental Quality","Climate","Precipitation",2017,"Community Area","26-West Garfield Park","26",NA,NA,41.3000795861943,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"27","Environmental Quality","Climate","Precipitation",2017,"Community Area","27-East Garfield Park","27",NA,NA,39.8627477484017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","2"
"28","Environmental Quality","Climate","Precipitation",2017,"Community Area","28-Near West Side","28",NA,NA,37.8330576358845,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"29","Environmental Quality","Climate","Precipitation",2017,"Community Area","29-North Lawndale","29",NA,NA,40.9886176306421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"30","Environmental Quality","Climate","Precipitation",2017,"Community Area","30-South Lawndale","30",NA,NA,41.2145275831008,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"31","Environmental Quality","Climate","Precipitation",2017,"Community Area","31-Lower West Side","31",NA,NA,39.2821358527335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"32","Environmental Quality","Climate","Precipitation",2017,"Community Area","32-Loop","32",NA,NA,36.0695099943286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"33","Environmental Quality","Climate","Precipitation",2017,"Community Area","33-Near South Side","33",NA,NA,37.8437363187552,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"34","Environmental Quality","Climate","Precipitation",2017,"Community Area","34-Armour Square","34",NA,NA,39.1809445337476,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"35","Environmental Quality","Climate","Precipitation",2017,"Community Area","35-Douglas","35",NA,NA,39.635551239602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"36","Environmental Quality","Climate","Precipitation",2017,"Community Area","36-Oakland","36",NA,NA,40.3976331747722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","2"
"37","Environmental Quality","Climate","Precipitation",2017,"Community Area","37-Fuller Park","37",NA,NA,41.081637491369,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"38","Environmental Quality","Climate","Precipitation",2017,"Community Area","38-Grand Boulevard","38",NA,NA,41.0227297578342,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"39","Environmental Quality","Climate","Precipitation",2017,"Community Area","39-Kenwood","39",NA,NA,41.3884233837853,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"40","Environmental Quality","Climate","Precipitation",2017,"Community Area","40-Washington Park","40",NA,NA,41.7922113306232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"41","Environmental Quality","Climate","Precipitation",2017,"Community Area","41-Hyde Park","41",NA,NA,42.0254399613831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"42","Environmental Quality","Climate","Precipitation",2017,"Community Area","42-Woodlawn","42",NA,NA,42.0477337582508,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"43","Environmental Quality","Climate","Precipitation",2017,"Community Area","43-South Shore","43",NA,NA,41.926657879815,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"44","Environmental Quality","Climate","Precipitation",2017,"Community Area","44-Chatham","44",NA,NA,42.0056086497449,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"45","Environmental Quality","Climate","Precipitation",2017,"Community Area","45-Avalon Park","45",NA,NA,41.9667310741976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"46","Environmental Quality","Climate","Precipitation",2017,"Community Area","46-South Chicago","46",NA,NA,41.7729481866134,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"47","Environmental Quality","Climate","Precipitation",2017,"Community Area","47-Burnside","47",NA,NA,41.9324662656938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"48","Environmental Quality","Climate","Precipitation",2017,"Community Area","48-Calumet Heights","48",NA,NA,41.8741923377346,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"49","Environmental Quality","Climate","Precipitation",2017,"Community Area","49-Roseland","49",NA,NA,41.7852616144107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"50","Environmental Quality","Climate","Precipitation",2017,"Community Area","50-Pullman","50",NA,NA,41.8069004833223,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"51","Environmental Quality","Climate","Precipitation",2017,"Community Area","51-South Deering","51",NA,NA,41.7564291561946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"52","Environmental Quality","Climate","Precipitation",2017,"Community Area","52-East Side","52",NA,NA,41.6968866996804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"53","Environmental Quality","Climate","Precipitation",2017,"Community Area","53-West Pullman","53",NA,NA,41.3462672692002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"54","Environmental Quality","Climate","Precipitation",2017,"Community Area","54-Riverdale","54",NA,NA,41.3421609965605,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"55","Environmental Quality","Climate","Precipitation",2017,"Community Area","55-Hegewisch","55",NA,NA,41.6563713407136,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"56","Environmental Quality","Climate","Precipitation",2017,"Community Area","56-Garfield Ridge","56",NA,NA,41.7034617095884,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"57","Environmental Quality","Climate","Precipitation",2017,"Community Area","57-Archer Heights","57",NA,NA,41.8137734137709,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"58","Environmental Quality","Climate","Precipitation",2017,"Community Area","58-Brighton Park","58",NA,NA,41.3127931326492,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"59","Environmental Quality","Climate","Precipitation",2017,"Community Area","59-Mckinley Park","59",NA,NA,40.4420972269066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","2"
"60","Environmental Quality","Climate","Precipitation",2017,"Community Area","60-Bridgeport","60",NA,NA,39.7264612106673,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"61","Environmental Quality","Climate","Precipitation",2017,"Community Area","61-New City","61",NA,NA,41.130131795562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"62","Environmental Quality","Climate","Precipitation",2017,"Community Area","62-West Elsdon","62",NA,NA,41.9160395696966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"63","Environmental Quality","Climate","Precipitation",2017,"Community Area","63-Gage Park","63",NA,NA,41.7144575832382,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"64","Environmental Quality","Climate","Precipitation",2017,"Community Area","64-Clearing","64",NA,NA,41.6414883260724,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"65","Environmental Quality","Climate","Precipitation",2017,"Community Area","65-West Lawn","65",NA,NA,42.1396723289562,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"66","Environmental Quality","Climate","Precipitation",2017,"Community Area","66-Chicago Lawn","66",NA,NA,42.0028778980309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"67","Environmental Quality","Climate","Precipitation",2017,"Community Area","67-West Englewood","67",NA,NA,41.8705016961537,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"68","Environmental Quality","Climate","Precipitation",2017,"Community Area","68-Englewood","68",NA,NA,41.8631205757325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"69","Environmental Quality","Climate","Precipitation",2017,"Community Area","69-Greater Grand Crossing","69",NA,NA,42.0470509133154,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"70","Environmental Quality","Climate","Precipitation",2017,"Community Area","70-Ashburn","70",NA,NA,42.2726148212484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"71","Environmental Quality","Climate","Precipitation",2017,"Community Area","71-Auburn Gresham","71",NA,NA,42.043372248293,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"72","Environmental Quality","Climate","Precipitation",2017,"Community Area","72-Beverly","72",NA,NA,41.8905147787863,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"73","Environmental Quality","Climate","Precipitation",2017,"Community Area","73-Washington Heights","73",NA,NA,41.8961118619041,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"74","Environmental Quality","Climate","Precipitation",2017,"Community Area","74-Mount Greenwood","74",NA,NA,41.8344111340732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","4"
"75","Environmental Quality","Climate","Precipitation",2017,"Community Area","75-Morgan Park","75",NA,NA,41.5775575053937,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"76","Environmental Quality","Climate","Precipitation",2017,"Community Area","76-Ohare","76",NA,NA,40.1290381979426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","2"
"77","Environmental Quality","Climate","Precipitation",2017,"Community Area","77-Edgewater","77",NA,NA,39.7582792834014,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","2"
