"","Category","SubCategory","Indicator","Year","Geography","Geo_Group","Geo_ID","Demography","Demo_Group","Number","Cum_Number","Avg_Annual_Number","Crude_Rate","Lower_95CI_Crude_Rate","Upper_95CI_Crude_Rate","Age_Adj_Rate","Lower_95CI_Age_Adj_Rate","Upper_95CI_Age_Adj_Rate","Percent","Lower_95CI_Percent","Upper_95CI_Percent","Weight_Number","Weight_Percent","Lower_95CI_Weight_Percent","Upper_95CI_Weight_Percent","Map_Key","Flag"
"1","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","1-Rogers Park","1",NA,NA,43.6330637648337,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"2","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","2-West Ridge","2",NA,NA,43.6296127331281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"3","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","3-Uptown","3",NA,NA,44.2592325158904,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","2"
"4","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","4-Lincoln Square","4",NA,NA,43.999585098918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"5","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","5-North Center","5",NA,NA,44.3741303081869,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","2"
"6","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","6-Lake View","6",NA,NA,44.5790455226549,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","2"
"7","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","7-Lincoln Park","7",NA,NA,44.9260476922092,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","3"
"8","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","8-Near North Side","8",NA,NA,45.3228891097111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","5"
"9","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","9-Edison Park","9",NA,NA,43.2892703832548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"10","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","10-Norwood Park","10",NA,NA,43.4918909172621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"11","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","11-Jefferson Park","11",NA,NA,43.6158465910632,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"12","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","12-Forest Glen","12",NA,NA,43.4994814261649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"13","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","13-North Park","13",NA,NA,43.7310083775621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"14","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","14-Albany Park","14",NA,NA,43.9213398790691,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
"15","Environmental Quality","Climate","Minimum Temperature",2017,"Community Area","15-Portage Park","15",NA,NA,43.8913407964929,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Quintile","1"
