Category,SubCategory,Indicator,Year,Geography,Geo_Group,Geo_ID,Demography,Demo_Group,Number,Cum_Number,Ave_Annual_Number,Crude_Rate,Lower_95CI_Crude_Rate,Upper_95CI_Crude_Rate,Age_Adj_Rate,Lower_95CI_Age_Adj_Rate,Upper_95CI_Age_Adj_Rate,Percent,Lower_95CI_Percent,Upper_95CI_Percent,Weight_Number,Weight_Percent,Lower_95CI_Weight_Percent,Upper_95CI_Weight_Percent,Map_Key,Flag
Environmental Quality,EPA,NO2,2017,Community Area,1-Rogers Park,1,NA,NA,28.1074139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,NO2,2017,Community Area,2-West Ridge,2,NA,NA,28.1213234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,NO2,2017,Community Area,3-Uptown,3,NA,NA,28.1539747,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,4-Lincoln Square,4,NA,NA,28.1430268,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,NO2,2017,Community Area,5-North Center,5,NA,NA,28.1672987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,6-Lakeview,6,NA,NA,28.1837484,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,7-Lincoln Park,7,NA,NA,28.2261378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,NO2,2017,Community Area,8-Near North Side,8,NA,NA,28.2825587,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,NO2,2017,Community Area,9-Edison Park,9,NA,NA,28.1936184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,10-Norwood Park,10,NA,NA,28.197689,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,11-Jefferson Park,11,NA,NA,28.178196,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,12-Forest Glen,12,NA,NA,28.1569448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,13-North Park,13,NA,NA,28.1481445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,NO2,2017,Community Area,14-Albany Park,14,NA,NA,28.1624102,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,15-Portage Park,15,NA,NA,28.1999697,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,16-Irving Park,16,NA,NA,28.1762636,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,17-Dunning,17,NA,NA,28.2133482,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,18-Montclare,18,NA,NA,28.2299799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,NO2,2017,Community Area,19-Belmont Cragin,19,NA,NA,28.2517345,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,NO2,2017,Community Area,20-Hermosa,20,NA,NA,28.2403831,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,NO2,2017,Community Area,21-Avondale,21,NA,NA,28.1903172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,22-Logan Square,22,NA,NA,28.2079089,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,NO2,2017,Community Area,23-Humboldt Park,23,NA,NA,28.2838334,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
