Category,SubCategory,Indicator,Year,Geography,Geo_Group,Geo_ID,Demography,Demo_Group,Number,Cum_Number,Ave_Annual_Number,Crude_Rate,Lower_95CI_Crude_Rate,Upper_95CI_Crude_Rate,Age_Adj_Rate,Lower_95CI_Age_Adj_Rate,Upper_95CI_Age_Adj_Rate,Percent,Lower_95CI_Percent,Upper_95CI_Percent,Weight_Number,Weight_Percent,Lower_95CI_Weight_Percent,Upper_95CI_Weight_Percent,Map_Key,Flag
Environmental Quality,EPA,AQI,2017,Community Area,40-Washington Park,40,NA,NA,34.9851498,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,AQI,2017,Community Area,41-Hyde Park,41,NA,NA,37.0401541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,AQI,2017,Community Area,42-Woodlawn,42,NA,NA,37.8884512,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,AQI,2017,Community Area,43-South Shore,43,NA,NA,42.7572359,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,AQI,2017,Community Area,44-Chatham,44,NA,NA,36.1519169,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,AQI,2017,Community Area,45-Avalon Park,45,NA,NA,39.4216348,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,AQI,2017,Community Area,46-South Chicago,46,NA,NA,43.2975708,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,AQI,2017,Community Area,47-Burnside,47,NA,NA,36.9676311,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,AQI,2017,Community Area,48-Calumet Heights,48,NA,NA,39.1006732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,AQI,2017,Community Area,49-Roseland,49,NA,NA,35.1096823,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,AQI,2017,Community Area,50-Pullman,50,NA,NA,35.5072795,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,AQI,2017,Community Area,51-South Deering,51,NA,NA,32.6252756,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,AQI,2017,Community Area,52-East Side,52,NA,NA,31.2828701,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,AQI,2017,Community Area,53-West Pullman,53,NA,NA,34.7208126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,AQI,2017,Community Area,54-Riverdale,54,NA,NA,33.9134412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,AQI,2017,Community Area,55-Hegewisch,55,NA,NA,30.7097907,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,AQI,2017,Community Area,56-Garfield Ridge,56,NA,NA,33.9371361,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,AQI,2017,Community Area,57-Archer Heights,57,NA,NA,33.4079519,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,AQI,2017,Community Area,58-Brighton Park,58,NA,NA,33.3327841,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,AQI,2017,Community Area,59-McKinley Park,59,NA,NA,32.7183121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,AQI,2017,Community Area,60-Bridgeport,60,NA,NA,31.6298773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,AQI,2017,Community Area,61-New City,61,NA,NA,33.3360896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,AQI,2017,Community Area,62-West Elsdon,62,NA,NA,33.3605232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,AQI,2017,Community Area,63-Gage Park,63,NA,NA,33.3896529,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,AQI,2017,Community Area,64-Clearing,64,NA,NA,34.2133503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,AQI,2017,Community Area,65-West Lawn,65,NA,NA,32.9714319,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,AQI,2017,Community Area,66-Chicago Lawn,66,NA,NA,33.1414424,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,AQI,2017,Community Area,67-West Englewood,67,NA,NA,33.7650548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,AQI,2017,Community Area,68-Englewood,68,NA,NA,34.3058295,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,AQI,2017,Community Area,69-Greater Grand Crossing,69,NA,NA,36.4410234,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
Environmental Quality,EPA,AQI,2017,Community Area,70-Ashburn,70,NA,NA,32.9391039,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,AQI,2017,Community Area,71-Auburn Gresham,71,NA,NA,34.3101938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,AQI,2017,Community Area,72-Beverly,72,NA,NA,34.3827235,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,AQI,2017,Community Area,73-Washington Heights,73,NA,NA,34.68339,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,AQI,2017,Community Area,74-Mount Greenwood,74,NA,NA,35.6386056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,AQI,2017,Community Area,75-Morgan Park,75,NA,NA,35.0081556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,AQI,2017,Community Area,76-OHare,76,NA,NA,32.5219627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,AQI,2017,Community Area,77-Edgewater,77,NA,NA,36.7141606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,5
