Category,SubCategory,Indicator,Year,Geography,Geo_Group,Geo_ID,Demography,Demo_Group,Number,Cum_Number,Ave_Annual_Number,Crude_Rate,Lower_95CI_Crude_Rate,Upper_95CI_Crude_Rate,Age_Adj_Rate,Lower_95CI_Age_Adj_Rate,Upper_95CI_Age_Adj_Rate,Percent,Lower_95CI_Percent,Upper_95CI_Percent,Weight_Number,Weight_Percent,Lower_95CI_Weight_Percent,Upper_95CI_Weight_Percent,Map_Key,Flag
Environmental Quality,EPA,Pb,2017,Community Area,1-Rogers Park,1,NA,NA,0.009576555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,2-West Ridge,2,NA,NA,0.009519558,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,3-Uptown,3,NA,NA,0.009308497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,Pb,2017,Community Area,4-Lincoln Square,4,NA,NA,0.009363564,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,5-North Center,5,NA,NA,0.009183977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,Pb,2017,Community Area,6-Lakeview,6,NA,NA,0.009157017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,Pb,2017,Community Area,7-Lincoln Park,7,NA,NA,0.009022047,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,Pb,2017,Community Area,8-Near North Side,8,NA,NA,0.008902938,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,Pb,2017,Community Area,9-Edison Park,9,NA,NA,0.009743816,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,4
Environmental Quality,EPA,Pb,2017,Community Area,10-Norwood Park,10,NA,NA,0.009637738,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,11-Jefferson Park,11,NA,NA,0.009523,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,12-Forest Glen,12,NA,NA,0.009562995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,13-North Park,13,NA,NA,0.009448797,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,14-Albany Park,14,NA,NA,0.009369139,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,15-Portage Park,15,NA,NA,0.00938752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,16-Irving Park,16,NA,NA,0.009279296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,Pb,2017,Community Area,17-Dunning,17,NA,NA,0.009519232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,18-Montclare,18,NA,NA,0.009422722,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,3
Environmental Quality,EPA,Pb,2017,Community Area,19-Belmont Cragin,19,NA,NA,0.009283035,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,Pb,2017,Community Area,20-Hermosa,20,NA,NA,0.009140525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,Pb,2017,Community Area,21-Avondale,21,NA,NA,0.009158896,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,Pb,2017,Community Area,22-Logan Square,22,NA,NA,0.009037606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,Pb,2017,Community Area,23-Humboldt Park,23,NA,NA,0.008990266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,Pb,2017,Community Area,24-West Town,24,NA,NA,0.008874074,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,Pb,2017,Community Area,25-Austin,25,NA,NA,0.00917946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,2
Environmental Quality,EPA,Pb,2017,Community Area,26-West Garfield Park,26,NA,NA,0.008967328,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,Pb,2017,Community Area,27-East Garfield Park,27,NA,NA,0.008844917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,Pb,2017,Community Area,28-Near West Side,28,NA,NA,0.008734751,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,Pb,2017,Community Area,29-North Lawndale,29,NA,NA,0.008885658,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
Environmental Quality,EPA,Pb,2017,Community Area,30-South Lawndale,30,NA,NA,0.008926623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Quintile,1
