Date,Source,Site ID,POC,Daily Max 1-hour NO2 Concentration,UNITS,DAILY_AQI_VALUE,Site Name,DAILY_OBS_COUNT,PERCENT_COMPLETE,AQS_PARAMETER_CODE,AQS_PARAMETER_DESC,CBSA_CODE,CBSA_NAME,STATE_CODE,STATE,COUNTY_CODE,COUNTY,SITE_LATITUDE,SITE_LONGITUDE
03/18/2017,AQS,171430024,1,0.032,ppm,30,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/19/2017,AQS,171430024,1,0.038,ppm,35,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/20/2017,AQS,171430024,1,0.036,ppm,33,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/21/2017,AQS,171430024,1,0.042,ppm,39,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/22/2017,AQS,171430024,1,0.046,ppm,43,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/23/2017,AQS,171430024,1,0.034,ppm,31,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/24/2017,AQS,171430024,1,0.051,ppm,47,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/25/2017,AQS,171430024,1,0.046,ppm,43,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/26/2017,AQS,171430024,1,0.016,ppm,15,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/27/2017,AQS,171430024,1,0.018,ppm,17,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/28/2017,AQS,171430024,1,0.036,ppm,33,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/29/2017,AQS,171430024,1,0.039,ppm,36,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/30/2017,AQS,171430024,1,0.028,ppm,26,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
03/31/2017,AQS,171430024,1,0.037,ppm,34,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/01/2017,AQS,171430024,1,0.052,ppm,48,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/02/2017,AQS,171430024,1,0.043,ppm,40,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/03/2017,AQS,171430024,1,0.026,ppm,24,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/04/2017,AQS,171430024,1,0.041,ppm,38,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/05/2017,AQS,171430024,1,0.039,ppm,36,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/06/2017,AQS,171430024,1,0.043,ppm,40,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/07/2017,AQS,171430024,1,0.048,ppm,44,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/08/2017,AQS,171430024,1,0.055,ppm,51,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/09/2017,AQS,171430024,1,0.055,ppm,51,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/10/2017,AQS,171430024,1,0.048,ppm,44,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/11/2017,AQS,171430024,1,0.035,ppm,32,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/12/2017,AQS,171430024,1,0.051,ppm,47,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/13/2017,AQS,171430024,1,0.057,ppm,58,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/14/2017,AQS,171430024,1,0.046,ppm,43,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/15/2017,AQS,171430024,1,0.052,ppm,48,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/16/2017,AQS,171430024,1,0.049,ppm,45,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
04/17/2017,AQS,171430024,1,0.054,ppm,50,FIRESTATION,17,100,44201,Ozone,37900,"Peoria, IL",17,Illinois,143,Peoria,40.68742038,-89.60694277
