"Date","Source","Site ID","POC","Daily Mean Pb Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","170310022","2","0.014","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"01/07/2017","AQS","170310022","2","0.014","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"01/13/2017","AQS","170310022","2","0.005","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"01/19/2017","AQS","170310022","2","0.013","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"01/25/2017","AQS","170310022","2","0.057","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"01/31/2017","AQS","170310022","2","0.061","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"02/06/2017","AQS","170310022","2","0.004","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"02/12/2017","AQS","170310022","2","0.005","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"02/18/2017","AQS","170310022","2","0.003","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"02/24/2017","AQS","170310022","2","0.009","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"03/02/2017","AQS","170310022","2","0.001","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"03/08/2017","AQS","170310022","2","0.064","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"03/20/2017","AQS","170310022","2","0.004","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"03/26/2017","AQS","170310022","2","0.005","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"04/04/2017","AQS","170310022","2","0.001","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"04/07/2017","AQS","170310022","2","0.003","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"04/13/2017","AQS","170310022","2","0.006","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"04/19/2017","AQS","170310022","2","0.009","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"04/25/2017","AQS","170310022","2","0.005","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/01/2017","AQS","170310022","2","0.004","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/07/2017","AQS","170310022","2","0.001","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/13/2017","AQS","170310022","2","0.024","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/19/2017","AQS","170310022","2","0.004","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/25/2017","AQS","170310022","2","0.008","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"05/31/2017","AQS","170310022","2","0.033","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/08/2017","AQS","170310022","2","0.032","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/12/2017","AQS","170310022","2","0.013","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/18/2017","AQS","170310022","2","0.032","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/24/2017","AQS","170310022","2","0.022","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"06/30/2017","AQS","170310022","2","0.01","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/06/2017","AQS","170310022","2","0.011","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/12/2017","AQS","170310022","2","0.005","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/18/2017","AQS","170310022","2","0.02","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/24/2017","AQS","170310022","2","0.002","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"07/30/2017","AQS","170310022","2","0.003","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
"08/05/2017","AQS","170310022","2","0.015","ug/m3 LC",".","WASHINGTON HS","1","100.0000","14129","Lead (TSP) LC","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.6871654376343","-87.5393154841479"
