OID,CA_Name,CA_Number,PM10
1,DOUGLAS,35,22.34641329
2,OAKLAND,36,22.37641144
3,FULLER PARK,37,22.80646324
4,GRAND BOULEVARD,38,22.67362595
5,KENWOOD,39,22.53631592
6,LINCOLN SQUARE,4,19.99763012
7,WASHINGTON PARK,40,22.86431789
8,HYDE PARK,41,22.73194122
9,WOODLAWN,42,22.85891151
10,ROGERS PARK,1,19.23195076
11,JEFFERSON PARK,11,20.00027657
12,FOREST GLEN,12,19.70817757
13,NORTH PARK,13,20.00097084
14,ALBANY PARK,14,20.2179081
15,PORTAGE PARK,15,20.57833576
16,IRVING PARK,16,20.54400063
17,DUNNING,17,20.58869362
18,MONTCLARE,18,21.17856979
19,BELMONT CRAGIN,19,21.15212059
20,WEST RIDGE,2,19.47457695
21,HERMOSA,20,21.39437294
22,AVONDALE,21,20.85244331
23,LOGAN SQUARE,22,21.08150578
24,HUMBOLDT PARK,23,21.63899422
25,WEST TOWN,24,21.53666687
26,AUSTIN,25,21.99386311
27,WEST GARFIELD PARK,26,22.15267944
28,EAST GARFIELD PARK,27,22.06132889
29,NEAR WEST SIDE,28,21.91614819
30,NORTH LAWNDALE,29,22.56953144
31,UPTOWN,3,20.24295568
32,SOUTH LAWNDALE,30,22.97132587
33,LOWER WEST SIDE,31,22.33359432
34,NEAR SOUTH SIDE,33,22.15677452
35,ARMOUR SQUARE,34,22.33141422
36,NORWOOD PARK,10,19.99546242
37,NEAR NORTH SIDE,8,21.38537407
38,LOOP,32,21.76701927
39,SOUTH SHORE,43,22.94036961
40,CHATHAM,44,23.27275085
41,AVALON PARK,45,23.08895747
42,SOUTH CHICAGO,46,22.89982224
43,BURNSIDE,47,23.22935772
44,CALUMET HEIGHTS,48,23.12820816
45,ROSELAND,49,23.34063339
46,NORTH CENTER,5,20.5070858
47,PULLMAN,50,23.28969574
48,SOUTH DEERING,51,23.227808
49,EAST SIDE,52,23.13868713
50,WEST PULLMAN,53,23.25286484
51,RIVERDALE,54,23.1586647
52,HEGEWISCH,55,22.82406553
53,GARFIELD RIDGE,56,23.51804733
54,ARCHER HEIGHTS,57,23.36050606
55,BRIGHTON PARK,58,23.2127037
56,MCKINLEY PARK,59,22.76691628
57,LAKE VIEW,6,20.47806358
58,BRIDGEPORT,60,22.63554192
59,NEW CITY,61,23.00558853
60,WEST ELSDON,62,23.46598848
61,GAGE PARK,63,23.25340366
62,CLEARING,64,23.85896683
63,WEST LAWN,65,23.6125288
64,CHICAGO LAWN,66,23.36405563
65,WEST ENGLEWOOD,67,23.17438126
66,ENGLEWOOD,68,23.05140686
67,GREATER GRAND CROSSING,69,23.18194389
68,LINCOLN PARK,7,20.95763588
69,ASHBURN,70,23.49551964
70,AUBURN GRESHAM,71,23.38131809
71,BEVERLY,72,23.49193764
72,WASHINGTON HEIGHTS,73,23.40198898
73,MOUNT GREENWOOD,74,23.50516243
74,MORGAN PARK,75,23.38523102
75,OHARE,76,20.03778594
76,EDGEWATER,77,19.99069595
77,EDISON PARK,9,19.40192795
