"Date","Source","Site ID","POC","Daily Mean PM2.5 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","170190006","1","14.4","ug/m3 LC","56","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/07/2017","AQS","170190006","1","9","ug/m3 LC","38","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/10/2017","AQS","170190006","1","6.3","ug/m3 LC","26","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/13/2017","AQS","170190006","1","6.1","ug/m3 LC","25","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/16/2017","AQS","170190006","1","18.2","ug/m3 LC","64","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/22/2017","AQS","170190006","1","12.5","ug/m3 LC","52","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/25/2017","AQS","170190006","1","5.8","ug/m3 LC","24","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/28/2017","AQS","170190006","1","11.8","ug/m3 LC","49","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"01/31/2017","AQS","170190006","1","4.9","ug/m3 LC","20","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/03/2017","AQS","170190006","1","8.7","ug/m3 LC","36","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/06/2017","AQS","170190006","1","12.9","ug/m3 LC","53","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/09/2017","AQS","170190006","1","5.4","ug/m3 LC","23","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/12/2017","AQS","170190006","1","2.4","ug/m3 LC","10","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/15/2017","AQS","170190006","1","2.5","ug/m3 LC","10","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/18/2017","AQS","170190006","1","11.6","ug/m3 LC","48","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/21/2017","AQS","170190006","1","19","ug/m3 LC","66","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/24/2017","AQS","170190006","1","7.4","ug/m3 LC","31","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"02/27/2017","AQS","170190006","1","9.7","ug/m3 LC","40","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"03/02/2017","AQS","170190006","1","5","ug/m3 LC","21","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"03/05/2017","AQS","170190006","1","7.7","ug/m3 LC","32","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"03/08/2017","AQS","170190006","1","2.3","ug/m3 LC","10","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
"03/11/2017","AQS","170190006","1","3.8","ug/m3 LC","16","904 North Walnut","1","100.0000","88101","PM2.5 - Local Conditions","16580","Champaign-Urbana, IL","17","Illinois","019","Champaign","40.1238858574616","-88.240552608195"
