V1,AQS_SIT,AQS_PAR,CBSA_CO,CBSA_NA,STATE_C,STATE,COUNTY_,COUNTY,SITE_LA,SITE_LO,UNITS,14_DMPC,18_DMPC,2015MPC,2016MPC,2017MPC
1,170310001,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.670991899999997,     -87.732456900000003,ug/m3 LC,       9.760000000000000,       8.873636363999999,      11.108750000000001,       8.489583333000001,       8.772083332999999
2,170310022,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.687165440000001,     -87.539315479999999,ug/m3 LC,      11.470340309999999,       9.008447361000000,      10.883781570000000,       8.396497715000001,       8.448994108000001
3,170310052,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.965484830000001,     -87.749928060000002,ug/m3 LC,      11.878258779999999,       9.224261364000000,       9.975606061000001,       8.634452862000000,       8.724650672999999
4,170310057,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.912739000000002,     -87.722673000000000,ug/m3 LC,      10.551666669999999,       9.335151515000000,      12.670555560000000,       9.202361111000000,       8.815277778000000
5,170310076,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.751399980000002,     -87.713488150000003,ug/m3 LC,       9.612222222000000,       8.817878788000000,      11.006111110000001,       9.116250000000001,       8.321666667000001
6,170311016,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.801180000000002,     -87.832348999999994,ug/m3 LC,      12.351439389999999,       9.650555556000000,      11.552443179999999,       9.875692641000001,       9.572128591000000
7,170313103,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.965193480000003,     -87.876264730000003,ug/m3 LC,      11.555555560000000,      10.731071760000001,      11.790812290000000,       9.413653199000001,      10.328790890000001
8,170313301,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.782766010000003,     -87.805376789999997,ug/m3 LC,      10.792006369999999,       9.735541125999999,      10.984431819999999,       9.125286194999999,       8.695292508000000
9,170314007,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      42.060284690000003,     -87.863225430000000,ug/m3 LC,       9.727626262999999,      11.224760410000000,       9.861416245999999,       8.803267196000000,       9.373423764000000
10,170314201,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      42.139996189999998,     -87.799226919999995,ug/m3 LC,      10.110488220000001,       8.624380628000001,       9.142815356000000,       7.766995366000000,       7.989129089000000
11,170316005,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,31,Cook,      41.864426420000001,     -87.748902380000004,ug/m3 LC,      10.063333330000001,       9.786818181999999,      12.494583329999999,       8.946388889000000,       8.597500000000000
12,170434002,PM2.5 - Local Conditions,16980,"Chicago-Naperville-Elgin, IL-IN-WI",17,Illinois,43,DuPage,      41.771070940000001,     -88.152533649999995,ug/m3 LC,       9.536919191999999,      10.553602390000000,       9.016127945999999,       7.709454966000000,       8.096433060000001
