"Date","Source","Site ID","POC","Daily Max 1-hour NO2 Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2017","AQS","170310063","1","38.7","ppb","36","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/02/2017","AQS","170310063","1","15.4","ppb","14","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/03/2017","AQS","170310063","1","31.6","ppb","29","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/04/2017","AQS","170310063","1","34.1","ppb","32","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/05/2017","AQS","170310063","1","36.2","ppb","34","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/06/2017","AQS","170310063","1","38.5","ppb","36","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/07/2017","AQS","170310063","1","38.8","ppb","36","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/08/2017","AQS","170310063","1","35.7","ppb","33","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/09/2017","AQS","170310063","1","32.6","ppb","30","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/10/2017","AQS","170310063","1","31.4","ppb","29","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/11/2017","AQS","170310063","1","36.2","ppb","34","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/12/2017","AQS","170310063","1","37.8","ppb","35","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/13/2017","AQS","170310063","1","35.2","ppb","33","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/14/2017","AQS","170310063","1","44.4","ppb","42","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/15/2017","AQS","170310063","1","45.4","ppb","42","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
"01/16/2017","AQS","170310063","1","41.4","ppb","39","CTA BUILDING","24","100.0000","42602","Nitrogen dioxide (NO2)","16980","Chicago-Naperville-Elgin, IL-IN-WI","17","Illinois","031","Cook","41.877682","-87.635027"
